,KEY,ID RESTAURANT,GRADE,CAMIS,DBA,Latitude,Longitude,Cluster,Data Source,PREDICTED_SCORE,Exponential Smoothed Score,Probabilistic risk Score,i1,i2,i3,i4,i5,v1,v2,v3,v4,v5,Number of Inspections,LAST VIOLATIONS,inspection_date_1,inspection_date_2,inspection_date_3,inspection_date_4,inspection_date_5,LAST INSPECTION
20986,50140015-20231101,50140015,A,50140015,DRAGON NOODLES & DUMPLINGS,40.67669288,-73.98025435,0,Test,5.096792507,5.098419727,5.780015779,5,,,,,"10F,10H",,,,,1,"10F,10H",20231101,,,,,20231101
20987,50140041-20231109,50140041,A,50140041,ISLAND ROOTS JUICE BAR & CAFE,40.65173042,-73.92841693,5,Test,5.041933552,5.041933552,5.715978096,6,,,,,06F,,,,,1,06F,20231109,,,,,20231109
20988,50140043-20230918,50140043,A,50140043,MIGHTY QUINN'S BBQ,40.69195501,-73.98905933,1,Test,12.7244261,12.7244261,14.42552547,12,,,,,"06C,10B,10G",,,,,1,"06C,10B,10G",20230918,,,,,20230918
20989,50140058-20230830,50140058,A,50140058,LARRY'S CA PHE,40.71749986,-73.94139763,0,Test,12.0713545,12.0740511,13.68820333,11,,,,,"04H,08C,10F",,,,,1,"04H,08C,10F",20230830,,,,,20230830
20990,50140096-20231129,50140096,A,50140096,THAI BASIL THAI CUISINE,40.59429185,-73.94071761,6,Test,12.80490015,12.80490015,14.51675791,13,,,,,"02B,06C",,,,,1,"02B,06C",20231129,,,,,20231129
20991,50140113-20230919,50140113,C,50140113,WONG SUN HING LUNG,40.71861813,-73.99524896,6,Test,32.36795351,32.36795351,36.69515105,,,,,,,,,,,,,,,,,,
20992,50140114-20230817,50140114,A,50140114,FIVE GUYS,40.76387511,-73.72670611,0,Test,2.783646179,2.772328623,3.142954884,3,,,,,10F,,,,,1,10F,20230817,,,,,20230817
20993,50140117-20230908,50140117,A,50140117,HAWA SMOOTHIE,40.71196998,-74.00986544,6,Test,7.724897097,7.724897097,8.75762089,7,,,,,02B,,,,,1,02B,20230908,,,,,20230908
20994,50140123-20231002,50140123,A,50140123,FRIED FRANK CATERING,40.70253319,-74.01256178,0,Test,10.3996766,10.45075022,11.84788707,12,,,,,"02G,10F",,,,,1,"02G,10F",20231002,,,,,20231002
20995,50140126-20230905,50140126,A,50140126,TACOS LOS MAS SABROSOS,40.62004155,-73.93717538,0,Test,10.3996766,10.45075022,11.84788707,12,,,,,"02G,10F",,,,,1,"02G,10F",20230905,,,,,20230905
20996,50140137-20230926,50140137,A,50140137,DAYGLOW/NITEGLOW,40.70358897,-73.9308424,5,Test,2.45241041,2.45241041,2.780267539,2,,,,,10H,,,,,1,10H,20230926,,,,,20230926
20997,50140164-20230901,50140164,A,50140164,SOZEAL CAFE,40.74067218,-73.87941268,1,Test,10.43260639,10.43260639,11.82731764,12,,,,,"06C,06D",,,,,1,"06C,06D",20230901,,,,,20230901
20998,50140170-20230822,50140170,A,50140170,IMASA NORI,40.76429807,-73.98309459,1,Test,5.704989376,5.704989376,6.467676334,6,,,,,06C,,,,,1,06C,20230822,,,,,20230822
20999,50140178-20231013,50140178,A,50140178,BAYA BAR,40.66072923,-73.98011492,5,Test,9.352726239,9.352726239,10.60307078,7,,,,,"04J,10B",,,,,1,"04J,10B",20231013,,,,,20231013
